source,Ensembl_Gene_ID,default_panel
Wang 2016,ENSG00000161973,True
Wang 2016,ENSG00000162039,True
Wang 2016,ENSG00000162129,False
Wang 2016,ENSG00000162148,False
Wang 2016,ENSG00000162571,False
Wang 2016,ENSG00000162592,True
Wang 2016,ENSG00000162620,False
Wang 2016,ENSG00000162624,False
Wang 2016,ENSG00000162639,False
Wang 2016,ENSG00000162753,False
Wang 2016,ENSG00000162763,False
Wang 2016,ENSG00000162771,True
Wang 2016,ENSG00000162779,False
Wang 2016,ENSG00000162782,False
Wang 2016,ENSG00000162814,False
Wang 2016,ENSG00000162843,True
Wang 2016,ENSG00000162931,False
Wang 2016,ENSG00000163012,True
Wang 2016,ENSG00000163060,False
Wang 2016,ENSG00000163114,True
Wang 2016,ENSG00000163206,True
Wang 2016,ENSG00000163239,False
Wang 2016,ENSG00000163254,False
Wang 2016,ENSG00000163263,False
Wang 2016,ENSG00000163357,False
Wang 2016,ENSG00000163424,False
Wang 2016,ENSG00000163440,True
Wang 2016,ENSG00000163467,True
Wang 2016,ENSG00000163491,False
Wang 2016,ENSG00000163530,True
Wang 2016,ENSG00000163535,False
Wang 2016,ENSG00000163645,True
Wang 2016,ENSG00000163705,True
Wang 2016,ENSG00000163746,False
Wang 2016,ENSG00000163749,True
Wang 2016,ENSG00000163793,False
Wang 2016,ENSG00000163806,True
Wang 2016,ENSG00000163808,False
Wang 2016,ENSG00000163879,False
Wang 2016,ENSG00000163885,False
Wang 2016,ENSG00000163923,False
Wang 2016,ENSG00000163958,True
Wang 2016,ENSG00000164037,False
Wang 2016,ENSG00000164045,False
Wang 2016,ENSG00000164070,False
Wang 2016,ENSG00000164113,True
Wang 2016,ENSG00000164256,False
Wang 2016,ENSG00000164299,True
Wang 2016,ENSG00000164304,True
Wang 2016,ENSG00000164334,True
Wang 2016,ENSG00000164404,False
Wang 2016,ENSG00000164500,True
Wang 2016,ENSG00000164512,False
Wang 2016,ENSG00000164611,False
Wang 2016,ENSG00000164645,True
Wang 2016,ENSG00000164675,False
Wang 2016,ENSG00000164744,False
Wang 2016,ENSG00000164900,False
Wang 2016,ENSG00000165059,True
Wang 2016,ENSG00000165076,True
Wang 2016,ENSG00000165113,False
Wang 2016,ENSG00000165131,True
Wang 2016,ENSG00000165181,False
Wang 2016,ENSG00000165182,True
Wang 2016,ENSG00000165309,False
Wang 2016,ENSG00000165325,False
Wang 2016,ENSG00000165383,False
Wang 2016,ENSG00000165490,False
Wang 2016,ENSG00000165496,False
Wang 2016,ENSG00000165555,False
Wang 2016,ENSG00000165568,False
Wang 2016,ENSG00000165583,True
Wang 2016,ENSG00000165584,True
Wang 2016,ENSG00000165643,False
Wang 2016,ENSG00000165695,False
Wang 2016,ENSG00000165698,False
Wang 2016,ENSG00000165805,True
Wang 2016,ENSG00000165807,False
Wang 2016,ENSG00000165863,True
Wang 2016,ENSG00000165972,False
Wang 2016,ENSG00000166049,True
Wang 2016,ENSG00000166069,True
Wang 2016,ENSG00000166118,True
Wang 2016,ENSG00000166220,False
Wang 2016,ENSG00000166246,False
Wang 2016,ENSG00000166323,False
Wang 2016,ENSG00000166351,True
Wang 2016,ENSG00000166359,False
Wang 2016,ENSG00000166546,False
Wang 2016,ENSG00000166578,False
Wang 2016,ENSG00000166796,True
Wang 2016,ENSG00000166800,True
Wang 2016,ENSG00000166851,False
Wang 2016,ENSG00000166926,False
Wang 2016,ENSG00000166928,False
Wang 2016,ENSG00000167014,False
Wang 2016,ENSG00000167094,False
Wang 2016,ENSG00000167194,False
Wang 2016,ENSG00000167195,False
Wang 2016,ENSG00000167210,False
Wang 2016,ENSG00000167523,False
Wang 2016,ENSG00000167525,False
Wang 2016,ENSG00000167531,False
Wang 2016,ENSG00000167634,True
Wang 2016,ENSG00000168026,True
Wang 2016,ENSG00000168070,False
Wang 2016,ENSG00000168078,False
Wang 2016,ENSG00000168148,False
Wang 2016,ENSG00000168263,False
Wang 2016,ENSG00000168454,False
Wang 2016,ENSG00000168491,False
Wang 2016,ENSG00000168589,False
Wang 2016,ENSG00000168594,True
Wang 2016,ENSG00000168619,True
Wang 2016,ENSG00000168676,False
Wang 2016,ENSG00000168757,True
Wang 2016,ENSG00000168930,False
Wang 2016,ENSG00000169059,True
Wang 2016,ENSG00000169126,False
Wang 2016,ENSG00000169194,True
Wang 2016,ENSG00000169214,True
Wang 2016,ENSG00000169393,False
Wang 2016,ENSG00000169402,False
Wang 2016,ENSG00000169551,True
Wang 2016,ENSG00000169679,False
Wang 2016,ENSG00000169717,False
Wang 2016,ENSG00000169800,True
Wang 2016,ENSG00000169953,True
Wang 2016,ENSG00000170236,True
Wang 2016,ENSG00000170279,False
Wang 2016,ENSG00000170469,False
Wang 2016,ENSG00000170486,False
Wang 2016,ENSG00000170516,True
Wang 2016,ENSG00000170627,False
Wang 2016,ENSG00000170703,False
Wang 2016,ENSG00000170748,True
Wang 2016,ENSG00000170777,True
Wang 2016,ENSG00000170788,False
Wang 2016,ENSG00000170820,True
Wang 2016,ENSG00000170925,False
Wang 2016,ENSG00000170948,False
Wang 2016,ENSG00000170950,True
Wang 2016,ENSG00000170965,True
Wang 2016,ENSG00000171102,False
Wang 2016,ENSG00000171209,False
Wang 2016,ENSG00000171402,True
Wang 2016,ENSG00000171405,True
Wang 2016,ENSG00000171487,False
Wang 2016,ENSG00000171489,True
Wang 2016,ENSG00000171495,True
Wang 2016,ENSG00000171540,False
Wang 2016,ENSG00000171722,False
Wang 2016,ENSG00000171772,False
Wang 2016,ENSG00000171790,False
Wang 2016,ENSG00000171794,True
Wang 2016,ENSG00000171804,True
Wang 2016,ENSG00000171864,False
Wang 2016,ENSG00000171872,True
Wang 2016,ENSG00000171931,False
Wang 2016,ENSG00000171956,False
Wang 2016,ENSG00000171989,True
Wang 2016,ENSG00000172073,True
Wang 2016,ENSG00000172139,False
Wang 2016,ENSG00000172361,False
Wang 2016,ENSG00000172421,True
Wang 2016,ENSG00000172538,True
Wang 2016,ENSG00000172671,False
Wang 2016,ENSG00000172680,False
Wang 2016,ENSG00000172717,True
Wang 2016,ENSG00000172738,False
Wang 2016,ENSG00000172967,True
Wang 2016,ENSG00000173093,False
Wang 2016,ENSG00000173157,False
Wang 2016,ENSG00000173261,False
Wang 2016,ENSG00000173389,True
Wang 2016,ENSG00000173401,True
Wang 2016,ENSG00000173421,False
Wang 2016,ENSG00000173464,False
Wang 2016,ENSG00000173557,False
Wang 2016,ENSG00000173673,False
Wang 2016,ENSG00000173699,True
Wang 2016,ENSG00000173809,False
Wang 2016,ENSG00000173838,False
Wang 2016,ENSG00000173868,False
Wang 2016,ENSG00000173894,False
Wang 2016,ENSG00000173908,False
Wang 2016,ENSG00000174015,True
Wang 2016,ENSG00000174016,True
Wang 2016,ENSG00000174038,False
Wang 2016,ENSG00000174225,True
Wang 2016,ENSG00000174448,True
Wang 2016,ENSG00000174527,False
Wang 2016,ENSG00000174788,False
Wang 2016,ENSG00000175018,True
Wang 2016,ENSG00000175294,True
