Ensembl_Gene_ID,Symbol,paper_dois,source_tags,source_locations,default_panel,nomination_scope,legacy_retention_evidence_caveat,evidence_scope
ENSG00000169551,CT55,10.1002/cam4.2223;10.1038/ncomms10499;10.1038/s41467-021-22695-y;10.1136/jitc-2023-007935;10.1371/journal.pgen.1011734,Carter2023_CT;Chang2019_TGCT;Gong2021_reproductive_PC;Loriot2025_S1;Wang2016_CT,"10.1002/cam4.2223: CAM4-8-3511-s002.xlsx / Suppl Table 2 / rows 563 | 10.1038/ncomms10499: ncomms10499-s4.xlsx / Supplementary Data 3A / rows 556 | 10.1038/s41467-021-22695-y: gong.xlsx / Data 5 - tissue-enriched PC / rows 940 | 10.1136/jitc-2023-007935: jitc-2023-007935supp001.pdf / Supplementary Table 2 / rows PDF page 25, text line 7 | 10.1371/journal.pgen.1011734: loriot-s1.xlsx / List of 146 CG genes / rows 106",True,includes_cancer_associated_source,False,Paper nomination/expression; antigen validation must be assessed separately
ENSG00000169570,DTWD2,10.1038/s41388-018-0357-2,Bruggeman2018_GC,10.1038/s41388-018-0357-2: 41388_2018_357_MOESM4_ESM.xlsx / 1D / rows 416,False,includes_cancer_associated_source,False,Paper nomination/expression; antigen validation must be assessed separately
ENSG00000169575,VPREB1,10.18632/oncotarget.21715,daSilva2017_CT;daSilva2017_testis_biased,10.18632/oncotarget.21715: oncotarget-08-92966-s002.xls / 1103 CTs predicted / rows 1069 | 10.18632/oncotarget.21715: oncotarget-08-92966-s003.xls / Sheet1 / rows 928,False,includes_cancer_associated_source,False,Paper nomination/expression; antigen validation must be assessed separately
ENSG00000169594,BNC1,10.1002/1878-0261.12900,Jamin2021_CT,10.1002/1878-0261.12900: MOL2-15-3003-s007.xlsx / Expression data and classes / rows 1075,False,includes_cancer_associated_source,False,Paper nomination/expression; antigen validation must be assessed separately
ENSG00000169607,CKAP2L,10.1038/s41388-018-0357-2,Bruggeman2018_GC,10.1038/s41388-018-0357-2: 41388_2018_357_MOESM4_ESM.xlsx / 1D / rows 321,False,includes_cancer_associated_source,False,Paper nomination/expression; antigen validation must be assessed separately
ENSG00000169621,APLF,10.1038/s41388-018-0357-2,Bruggeman2018_GC,10.1038/s41388-018-0357-2: 41388_2018_357_MOESM4_ESM.xlsx / 1D / rows 629,False,includes_cancer_associated_source,False,Paper nomination/expression; antigen validation must be assessed separately
ENSG00000169679,BUB1,10.1002/cam4.2223;10.1038/ncomms10499,Chang2019_TGCT;Wang2016_CT,10.1002/cam4.2223: CAM4-8-3511-s002.xlsx / Suppl Table 2 / rows 564 | 10.1038/ncomms10499: ncomms10499-s4.xlsx / Supplementary Data 3A / rows 557,False,includes_cancer_associated_source,False,Paper nomination/expression; antigen validation must be assessed separately
ENSG00000169684,CHRNA5,10.1038/s41388-018-0357-2,Bruggeman2018_GC,10.1038/s41388-018-0357-2: 41388_2018_357_MOESM4_ESM.xlsx / 1D / rows 341,False,includes_cancer_associated_source,False,Paper nomination/expression; antigen validation must be assessed separately
ENSG00000169717,ACTRT2,10.1002/1878-0261.12900;10.1002/cam4.2223;10.1038/ncomms10499;10.1038/s41467-021-22695-y;10.18632/oncotarget.21715,Chang2019_TGCT;Gong2021_reproductive_PC;Jamin2021_CT;Wang2016_CT;daSilva2017_testis_biased,10.1002/1878-0261.12900: MOL2-15-3003-s007.xlsx / Expression data and classes / rows 69 | 10.1002/cam4.2223: CAM4-8-3511-s002.xlsx / Suppl Table 2 / rows 565 | 10.1038/ncomms10499: ncomms10499-s4.xlsx / Supplementary Data 3A / rows 558 | 10.1038/s41467-021-22695-y: gong.xlsx / Data 5 - tissue-enriched PC / rows 941 | 10.18632/oncotarget.21715: oncotarget-08-92966-s002.xls / 1103 CTs predicted / rows 11,False,includes_cancer_associated_source,False,Paper nomination/expression; antigen validation must be assessed separately
ENSG00000169760,NLGN1,10.1038/s41388-018-0357-2,Bruggeman2018_GC,10.1038/s41388-018-0357-2: 41388_2018_357_MOESM4_ESM.xlsx / 1D / rows 151,False,includes_cancer_associated_source,False,Paper nomination/expression; antigen validation must be assessed separately
