identity,Ensembl_Gene_ID,Symbol,biotype,source_databases,nominated,mapped,protein_coding,family_eligible,hpa_restriction,default_panel
ENSG00000172139,ENSG00000172139,SLC9C1,protein_coding,Chang2019_TGCT;Wang2016_CT,True,True,True,True,False,False
ENSG00000172244,ENSG00000172244,C5orf34,protein_coding,Bruggeman2018_GC;Jamin2021_CT,True,True,True,True,False,False
ENSG00000172288,ENSG00000172288,CDY1,protein_coding,daSilva2017_testis_biased,True,True,True,True,True,False
ENSG00000172320,ENSG00000172320,OR5A1,protein_coding,daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,True,False
ENSG00000172352,ENSG00000172352,CDY1B,protein_coding,daSilva2017_testis_biased,True,True,True,True,True,False
ENSG00000172361,ENSG00000172361,CFAP53,protein_coding,Chang2019_TGCT;Wang2016_CT,True,True,True,True,False,False
ENSG00000172362,ENSG00000172362,OR5B12,protein_coding,daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,True,False
ENSG00000172365,ENSG00000172365,OR5B2,protein_coding,daSilva2017_testis_biased,True,True,True,True,True,False
ENSG00000172421,ENSG00000172421,EFCAB3,protein_coding,Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,True,True
ENSG00000172465,ENSG00000172465,TCEAL1,protein_coding,Bruggeman2018_GC,True,True,True,True,False,False
ENSG00000172468,ENSG00000172468,HSFY1,protein_coding,daSilva2017_testis_biased,True,True,True,True,True,False
ENSG00000172519,ENSG00000172519,OR10H5,protein_coding,daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,True,False
ENSG00000172538,ENSG00000172538,FAM170B,protein_coding,Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,True,True
ENSG00000172671,ENSG00000172671,ZFAND4,protein_coding,Chang2019_TGCT;Jamin2021_CT;Wang2016_CT,True,True,True,True,False,False
ENSG00000172680,ENSG00000172680,MOS,protein_coding,Wang2016_CT;daSilva2017_testis_biased,True,True,True,True,True,False
