cancer_code,n_samples,Ensembl_Gene_ID,Symbol,n_gt25,pct_gt25,n_gt50,pct_gt50,n_gt100,pct_gt100,n_gt200,pct_gt200
OS,262,VCX3B,VCX3B,2,0.76,0,0.0,0,0.0,0,0.0
OS,262,XAGE2,XAGE2,2,0.76,1,0.38,0,0.0,0,0.0
OS,262,AKNAD1,AKNAD1,1,0.38,0,0.0,0,0.0,0,0.0
OS,262,CATSPERD,CATSPERD,1,0.38,0,0.0,0,0.0,0,0.0
OS,262,CRISP2,CRISP2,1,0.38,0,0.0,0,0.0,0,0.0
OS,262,HORMAD1,HORMAD1,1,0.38,0,0.0,0,0.0,0,0.0
OS,262,MAGEA8,MAGEA8,1,0.38,0,0.0,0,0.0,0,0.0
OS,262,NAA11,NAA11,1,0.38,0,0.0,0,0.0,0,0.0
OS,262,PAGE1,PAGE1,1,0.38,0,0.0,0,0.0,0,0.0
OS,262,PHF7,PHF7,1,0.38,0,0.0,0,0.0,0,0.0
OS,262,SYCE2,SYCE2,1,0.38,0,0.0,0,0.0,0,0.0
OS,262,TEX101,TEX101,1,0.38,0,0.0,0,0.0,0,0.0
OS,262,TKTL1,TKTL1,1,0.38,0,0.0,0,0.0,0,0.0
OS,262,XAGE3,XAGE3,1,0.38,1,0.38,1,0.38,0,0.0
OS,262,YBX2,YBX2,1,0.38,0,0.0,0,0.0,0,0.0
OV,426,PRAME,PRAME,298,69.95,191,44.84,53,12.44,8,1.88
OV,426,DPEP3,DPEP3,70,16.43,50,11.74,23,5.4,8,1.88
OV,426,CTCFL,CTCFL,67,15.73,23,5.4,2,0.47,0,0.0
OV,426,EGFL6,EGFL6,51,11.97,7,1.64,0,0.0,0,0.0
OV,426,MAGEA4,MAGEA4,39,9.15,19,4.46,7,1.64,0,0.0
OV,426,GAGE1,GAGE1,35,8.22,29,6.81,24,5.63,14,3.29
OV,426,PAGE2,PAGE2,34,7.98,32,7.51,24,5.63,17,3.99
OV,426,TKTL1,TKTL1,33,7.75,18,4.23,5,1.17,3,0.7
OV,426,CT45A1,CT45A1,31,7.28,9,2.11,1,0.23,0,0.0
OV,426,NY-ESO-1,NY-ESO-1,31,7.28,29,6.81,24,5.63,9,2.11
OV,426,XAGE2,XAGE2,20,4.69,6,1.41,0,0.0,0,0.0
