gene,rho,p,n,med_log10tpm
WDR27,-0.16312522074172997,0.34911582236950545,35,0.9981500970072552
ANP32A,-0.16312522074172997,0.34911582236950545,35,2.1118345718183185
WAC,-0.16312522074172997,0.34911582236950545,35,1.683352414669967
TOMM40,-0.16312522074172997,0.34911582236950545,35,1.8406977313101551
REG1B,-0.1630345918170457,0.34938729386898326,35,0.0
SHISA8,-0.1630290330694807,0.3494039487996526,35,0.01918278020598149
EEF1A1P8,-0.1630062180818132,0.35699256723608136,34,0.02945131616482225
CC2D2A,-0.1629849582991318,0.34953602114447435,35,0.8584218114925701
CLP1,-0.1629849582991318,0.34953602114447435,35,1.0550951448212451
UPF3AP2,-0.16298131072158195,0.3570670475627847,34,0.09091577562510327
THBS1,-0.16292623687769103,0.3497120298898006,35,1.5306738451496607
MIOS,-0.16292623687769103,0.3497120298898006,35,1.1337116258778874
BMS1P11,-0.162917240080981,0.35725868042181746,34,0.03818095487199885
MYT1,-0.16284469585653358,0.3499565259438868,35,0.03423528832079352
GSTM2,-0.16284469585653358,0.3499565259438868,35,1.2272128200283794
FAM157B,-0.16284469585653358,0.3499565259438868,35,0.15235348367001755
TBC1D32,-0.1628282766270077,0.3575248689816719,34,0.4454242351541345
KCNJ2-AS1,-0.1628282766270077,0.3575248689816719,34,0.11816237202279598
LINC00993,-0.16282414766434355,0.3575372261839814,34,0.0
C11orf87,-0.16277801612685697,0.3501565381264257,35,0.004364215698320703
ANGPTL7,-0.1627272259381648,0.3503089345129269,35,0.012344885875689434
MUC2,-0.16270599692587734,0.35037264422935943,35,0.004897184572515815
ZNF248,-0.16270443341393534,0.3503773367125975,35,0.7357950862315296
B3GALT6,-0.16270443341393534,0.3503773367125975,35,1.1389576255337697
SLCO5A1,-0.16270443341393534,0.3503773367125975,35,0.11593519595640753
RINT1,-0.16270443341393534,0.3503773367125975,35,1.0884609966693406
MRGBP,-0.16267524253243343,0.357983042100252,34,1.0893297528198267
MAP3K20-AS1,-0.16261114850732014,0.3581750394979579,34,0.01516642641184322
SLC28A2,-0.16260972629546835,0.35066164691271856,35,0.021230061345229468
LBP,-0.16260972629546835,0.35066164691271856,35,0.04787195247468441
MPND,-0.1625641709713371,0.35079845339505566,35,1.3765282513014176
WDFY1,-0.1625641709713371,0.35079845339505566,35,1.2734053832023307
FHDC1,-0.1625641709713371,0.35079845339505566,35,0.659645560751456
AJM1,-0.16255151922131736,0.3660941241431996,33,0.4338071032701574
FUT3,-0.16250542007990101,0.35097493491475923,35,0.8051606295276296
TTC27,-0.16250542007990101,0.35097493491475923,35,1.0655819379919556
NSMAF,-0.16250542007990101,0.35097493491475923,35,1.229608310574727
CCR9,-0.16244666175551278,0.35115149243018035,35,0.013275093183082232
FTH1P15,-0.16242675786007216,0.3587277363634615,34,0.0
BIRC6,-0.1624239085287389,0.35121987593530407,35,1.3101026101008284
FDX1,-0.1624239085287389,0.35121987593530407,35,1.0377867332296093
CLRN1-AS1,-0.1623739080811329,0.35888624363017274,34,0.0
