cancer_code,n_samples,Ensembl_Gene_ID,Symbol,n_gt25,pct_gt25,n_gt50,pct_gt50,n_p90,pct_p90,n_p95,pct_p95
UCEC_CNH,85,ENSG00000132446,FTHL17,1,1.18,0,0.0,1,1.18,0,0.0
UCEC_CNH,85,ENSG00000161860,SYCE2,1,1.18,0,0.0,1,1.18,0,0.0
UCEC_CNH,85,ENSG00000163530,DPPA2,1,1.18,0,0.0,3,3.53,0,0.0
UCEC_CNH,85,ENSG00000166049,PASD1,1,1.18,0,0.0,1,1.18,0,0.0
UCEC_CNH,85,ENSG00000169059,VCX3A,1,1.18,1,1.18,1,1.18,1,1.18
UCEC_CNH,85,ENSG00000182583,VCX,1,1.18,1,1.18,1,1.18,1,1.18
UCEC_CNH,85,ENSG00000183305,MAGEA2/MAGEA2B,1,1.18,1,1.18,2,2.35,1,1.18
UCEC_CNH,85,ENSG00000205642,VCX3B,1,1.18,0,0.0,1,1.18,1,1.18
UCEC_CNH,85,ENSG00000213401,MAGEA12,1,1.18,0,0.0,2,2.35,0,0.0
UCEC_CNH,85,ENSG00000241476,SSX2/SSX2B,1,1.18,1,1.18,1,1.18,1,1.18
UCEC_CNH,85,ENSG00000046774,MAGEC2,0,0.0,0,0.0,1,1.18,0,0.0
UCEC_CNH,85,ENSG00000068985,PAGE1,0,0.0,0,0.0,1,1.18,0,0.0
UCEC_CNH,85,ENSG00000143452,HORMAD1,0,0.0,0,0.0,1,1.18,0,0.0
UCEC_CNH,85,ENSG00000156269,NAA11,0,0.0,0,0.0,1,1.18,0,0.0
UCEC_CNH,85,ENSG00000169551,CT55,0,0.0,0,0.0,1,1.18,0,0.0
UCEC_CNH,85,ENSG00000171794,UTF1,0,0.0,0,0.0,1,1.18,0,0.0
UCEC_CNH,85,ENSG00000174898,CATSPERD,0,0.0,0,0.0,1,1.18,0,0.0
UCEC_CNL,30,ENSG00000185686,PRAME,30,100.0,29,96.67,30,100.0,30,100.0
UCEC_CNL,30,ENSG00000174898,CATSPERD,4,13.33,1,3.33,6,20.0,1,3.33
UCEC_CNL,30,ENSG00000197172,MAGEA6,4,13.33,2,6.67,4,13.33,2,6.67
UCEC_CNL,30,ENSG00000123584,MAGEA9/MAGEA9B,2,6.67,2,6.67,2,6.67,2,6.67
UCEC_CNL,30,ENSG00000159708,LRRC36,2,6.67,0,0.0,2,6.67,0,0.0
UCEC_CNL,30,ENSG00000183305,MAGEA2/MAGEA2B,2,6.67,0,0.0,2,6.67,0,0.0
UCEC_CNL,30,ENSG00000198681,MAGEA1,2,6.67,1,3.33,2,6.67,1,3.33
UCEC_CNL,30,ENSG00000221867,MAGEA3,2,6.67,2,6.67,3,10.0,2,6.67
UCEC_CNL,30,ENSG00000117148,ACTL8,1,3.33,0,0.0,1,3.33,0,0.0
UCEC_CNL,30,ENSG00000147381,MAGEA4,1,3.33,1,3.33,1,3.33,1,3.33
UCEC_CNL,30,ENSG00000155495,MAGEC1,1,3.33,0,0.0,1,3.33,0,0.0
UCEC_CNL,30,ENSG00000166049,PASD1,1,3.33,0,0.0,1,3.33,0,0.0
UCEC_CNL,30,ENSG00000169059,VCX3A,1,3.33,1,3.33,1,3.33,1,3.33
UCEC_CNL,30,ENSG00000182583,VCX,1,3.33,1,3.33,1,3.33,1,3.33
UCEC_CNL,30,ENSG00000183668,PSG9,1,3.33,1,3.33,1,3.33,1,3.33
UCEC_CNL,30,ENSG00000184033,CTAG1A/B,1,3.33,1,3.33,1,3.33,1,3.33
UCEC_CNL,30,ENSG00000189064,GAGE2A,1,3.33,1,3.33,1,3.33,1,3.33
UCEC_CNL,30,ENSG00000198759,EGFL6,1,3.33,0,0.0,1,3.33,0,0.0
UCEC_CNL,30,ENSG00000204379,XAGE1A/B,1,3.33,1,3.33,1,3.33,1,3.33
UCEC_CNL,30,ENSG00000213401,MAGEA12,1,3.33,0,0.0,1,3.33,0,0.0
UCEC_CNL,30,ENSG00000241476,SSX2/SSX2B,1,3.33,1,3.33,1,3.33,1,3.33
UCEC_CNL,30,ENSG00000268009,SSX4/SSX4B,1,3.33,1,3.33,1,3.33,1,3.33
UCEC_CNL,30,ENSG00000269586,CT45A10,1,3.33,0,0.0,1,3.33,1,3.33
UCEC_CNL,30,ENSG00000006047,YBX2,0,0.0,0,0.0,1,3.33,0,0.0
UCEC_CNL,30,ENSG00000162039,MEIOB,0,0.0,0,0.0,1,3.33,0,0.0
UCEC_CNL,30,ENSG00000163530,DPPA2,0,0.0,0,0.0,1,3.33,0,0.0
UCEC_CNL,30,ENSG00000274274,GAGE13,0,0.0,0,0.0,1,3.33,0,0.0
UCEC_MSI,41,ENSG00000185686,PRAME,36,87.8,26,63.41,38,92.68,29,70.73
UCEC_MSI,41,ENSG00000124092,CTCFL,1,2.44,1,2.44,1,2.44,1,2.44
UCEC_MSI,41,ENSG00000156009,MAGEA8,1,2.44,1,2.44,1,2.44,1,2.44
UCEC_MSI,41,ENSG00000159708,LRRC36,1,2.44,0,0.0,2,4.88,1,2.44
UCEC_MSI,41,ENSG00000163530,DPPA2,1,2.44,1,2.44,2,4.88,1,2.44
UCEC_MSI,41,ENSG00000174898,CATSPERD,1,2.44,1,2.44,1,2.44,1,2.44
UCEC_MSI,41,ENSG00000189064,GAGE2A,1,2.44,1,2.44,1,2.44,1,2.44
UCEC_MSI,41,ENSG00000197172,MAGEA6,1,2.44,0,0.0,1,2.44,1,2.44
UCEC_MSI,41,ENSG00000198681,MAGEA1,1,2.44,0,0.0,1,2.44,0,0.0
UCEC_MSI,41,ENSG00000198759,EGFL6,1,2.44,1,2.44,1,2.44,1,2.44
UCEC_MSI,41,ENSG00000215113,CXorf49/CXorf49B,1,2.44,0,0.0,1,2.44,0,0.0
UCEC_MSI,41,ENSG00000221867,MAGEA3,1,2.44,0,0.0,1,2.44,1,2.44
UCEC_MSI,41,ENSG00000224659,GAGE12J,1,2.44,1,2.44,1,2.44,1,2.44
UCEC_MSI,41,ENSG00000234068,PAGE2,1,2.44,0,0.0,1,2.44,0,0.0
UCEC_MSI,41,ENSG00000269586,CT45A10,1,2.44,0,0.0,2,4.88,0,0.0
UCEC_MSI,41,ENSG00000006659,LGALS14,0,0.0,0,0.0,1,2.44,0,0.0
UCEC_MSI,41,ENSG00000007350,TKTL1,0,0.0,0,0.0,1,2.44,0,0.0
UCEC_MSI,41,ENSG00000099399,MAGEB2,0,0.0,0,0.0,1,2.44,0,0.0
UCEC_MSI,41,ENSG00000126467,TSKS,0,0.0,0,0.0,1,2.44,1,2.44
UCEC_MSI,41,ENSG00000181433,SAGE1,0,0.0,0,0.0,1,2.44,0,0.0
UCEC_MSI,41,ENSG00000183305,MAGEA2/MAGEA2B,0,0.0,0,0.0,1,2.44,0,0.0
UCEC_MSI,41,ENSG00000198870,STKLD1,0,0.0,0,0.0,1,2.44,0,0.0
UCEC_POLE,16,ENSG00000185686,PRAME,15,93.75,13,81.25,15,93.75,13,81.25
UCEC_POLE,16,ENSG00000006047,YBX2,1,6.25,0,0.0,2,12.5,0,0.0
UCEC_POLE,16,ENSG00000007350,TKTL1,1,6.25,1,6.25,1,6.25,1,6.25
UCEC_POLE,16,ENSG00000198681,MAGEA1,1,6.25,0,0.0,1,6.25,0,0.0
UCEC_POLE,16,ENSG00000221867,MAGEA3,1,6.25,0,0.0,1,6.25,0,0.0
UCEC_POLE,16,ENSG00000124092,CTCFL,0,0.0,0,0.0,1,6.25,0,0.0
UCEC_POLE,16,ENSG00000161860,SYCE2,0,0.0,0,0.0,1,6.25,0,0.0
UCEC_POLE,16,ENSG00000205777,GAGE1,0,0.0,0,0.0,1,6.25,0,0.0
UCEC_POLE,16,ENSG00000224659,GAGE12J,0,0.0,0,0.0,1,6.25,0,0.0
UCS,57,ENSG00000185686,PRAME,53,92.98,50,87.72,55,96.49,52,91.23
UCS,57,ENSG00000198759,EGFL6,16,28.07,10,17.54,21,36.84,11,19.3
UCS,57,ENSG00000123584,MAGEA9/MAGEA9B,15,26.32,2,3.51,20,35.09,4,7.02
UCS,57,ENSG00000205777,GAGE1,10,17.54,10,17.54,11,19.3,10,17.54
UCS,57,ENSG00000234068,PAGE2,9,15.79,8,14.04,9,15.79,8,14.04
UCS,57,ENSG00000274274,GAGE13,9,15.79,6,10.53,9,15.79,7,12.28
UCS,57,ENSG00000189064,GAGE2A,8,14.04,7,12.28,9,15.79,7,12.28
UCS,57,ENSG00000204379,XAGE1A/B,8,14.04,8,14.04,8,14.04,8,14.04
UCS,57,ENSG00000147381,MAGEA4,7,12.28,5,8.77,9,15.79,5,8.77
UCS,57,ENSG00000099399,MAGEB2,6,10.53,5,8.77,6,10.53,6,10.53
UCS,57,ENSG00000124092,CTCFL,6,10.53,3,5.26,6,10.53,3,5.26
UCS,57,ENSG00000006047,YBX2,5,8.77,0,0.0,8,14.04,0,0.0
UCS,57,ENSG00000184033,CTAG1A/B,5,8.77,3,5.26,5,8.77,3,5.26
UCS,57,ENSG00000214107,MAGEB1,4,7.02,3,5.26,4,7.02,3,5.26
UCS,57,ENSG00000238269,PAGE2B,4,7.02,4,7.02,4,7.02,4,7.02
UCS,57,ENSG00000007350,TKTL1,3,5.26,3,5.26,4,7.02,3,5.26
UCS,57,ENSG00000117148,ACTL8,3,5.26,1,1.75,3,5.26,1,1.75
UCS,57,ENSG00000158639,PAGE5,3,5.26,3,5.26,4,7.02,3,5.26
UCS,57,ENSG00000170965,PLAC1,3,5.26,1,1.75,7,12.28,0,0.0
UCS,57,ENSG00000197172,MAGEA6,3,5.26,3,5.26,4,7.02,3,5.26
UCS,57,ENSG00000221867,MAGEA3,3,5.26,3,5.26,3,5.26,3,5.26
UCS,57,ENSG00000241476,SSX2/SSX2B,3,5.26,1,1.75,3,5.26,2,3.51
UCS,57,ENSG00000269586,CT45A10,3,5.26,0,0.0,5,8.77,0,0.0
UCS,57,ENSG00000046774,MAGEC2,2,3.51,2,3.51,2,3.51,2,3.51
UCS,57,ENSG00000104901,DKKL1,2,3.51,1,1.75,3,5.26,1,1.75
UCS,57,ENSG00000141096,DPEP3,2,3.51,1,1.75,2,3.51,1,1.75
UCS,57,ENSG00000155495,MAGEC1,2,3.51,0,0.0,2,3.51,2,3.51
UCS,57,ENSG00000165584,SSX3,2,3.51,0,0.0,2,3.51,0,0.0
UCS,57,ENSG00000182583,VCX,2,3.51,2,3.51,2,3.51,2,3.51
UCS,57,ENSG00000198681,MAGEA1,2,3.51,0,0.0,2,3.51,2,3.51
UCS,57,ENSG00000205642,VCX3B,2,3.51,1,1.75,2,3.51,1,1.75
UCS,57,ENSG00000213401,MAGEA12,2,3.51,1,1.75,2,3.51,1,1.75
UCS,57,ENSG00000215113,CXorf49/CXorf49B,2,3.51,0,0.0,2,3.51,0,0.0
UCS,57,ENSG00000268009,SSX4/SSX4B,2,3.51,2,3.51,4,7.02,2,3.51
UCS,57,ENSG00000068985,PAGE1,1,1.75,1,1.75,1,1.75,1,1.75
UCS,57,ENSG00000124260,MAGEA10,1,1.75,0,0.0,1,1.75,0,0.0
UCS,57,ENSG00000129862,VCY/VCY1B,1,1.75,0,0.0,1,1.75,0,0.0
UCS,57,ENSG00000147378,FATE1,1,1.75,0,0.0,1,1.75,1,1.75
UCS,57,ENSG00000155622,XAGE2,1,1.75,1,1.75,2,3.51,1,1.75
UCS,57,ENSG00000162039,MEIOB,1,1.75,0,0.0,1,1.75,0,0.0
UCS,57,ENSG00000166049,PASD1,1,1.75,0,0.0,1,1.75,0,0.0
UCS,57,ENSG00000169059,VCX3A,1,1.75,1,1.75,2,3.51,1,1.75
UCS,57,ENSG00000171402,XAGE3,1,1.75,1,1.75,1,1.75,1,1.75
UCS,57,ENSG00000183305,MAGEA2/MAGEA2B,1,1.75,0,0.0,2,3.51,1,1.75
UCS,57,ENSG00000187772,LIN28B,1,1.75,1,1.75,1,1.75,1,1.75
UCS,57,ENSG00000189052,CGB5/8,1,1.75,0,0.0,1,1.75,0,0.0
UCS,57,ENSG00000204019,CT83,1,1.75,0,0.0,1,1.75,0,0.0
UCS,57,ENSG00000216649,GAGE12C/D/E,1,1.75,0,0.0,1,1.75,0,0.0
UCS,57,ENSG00000224659,GAGE12J,1,1.75,0,0.0,1,1.75,1,1.75
