cancer_code,cohort,n_samples,cta,q1,median,q3
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,SYCE2,0.923206,1.546951,2.499064
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,SYCP3,0.097555,0.199832,0.413063
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,TEX14,0.318423,0.589849,1.320665
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,TMEM210,0.175179,0.474397,0.928985
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,TSPYL6,0.0,0.0,0.012441
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,TULP2,0.011996,0.048881,0.10808
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,WDR64,0.012236,0.048657,0.104118
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,XAGE1A,0.0,0.0,0.044172
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,XAGE1B,0.0,0.0,0.125201
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,YBX2,2.535999,5.726039,11.288257
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,ZC3H11B,0.056925,0.10839,0.170862
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,ADAM29,0.0,0.024377,0.120245
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,AKNAD1,0.192,0.394853,0.640114
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,ANKRD7,0.048588,0.108348,0.232757
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,C12orf42,0.011863,0.070656,0.179606
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,C1orf94,0.0,0.0,0.011495
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,CAGE1,0.0,0.012516,0.040741
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,CGB8,0.0,0.0,0.0
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,COX7B2,0.0,0.0,0.0
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,CTCFL,0.0,0.0,0.01193
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,DPEP3,0.012559,0.042081,0.09442
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,EGFL6,0.83071,1.442625,2.667205
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,FATE1,0.045671,0.100878,0.193766
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,HORMAD1,0.036732,0.091971,0.196915
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,LIN28B,0.0,0.0,0.0
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,LRRC36,0.376492,0.608098,1.021456
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,MAGEA1,0.0,0.011208,0.096065
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,MAGEA12,0.0,0.0,0.023489
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,MAGEA2,0.0,0.0,0.0
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,MAGEA3,0.0,0.0,0.022827
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,MAGEA4,0.0,0.0,0.011481
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,MAGEA6,0.0,0.0,0.0
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,MAGEA9B,0.0,0.0,0.035637
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,MAGEC1,0.0,0.011256,0.03655
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,MAGEC2,0.0,0.0,0.024788
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,PAGE2,0.0,0.0,0.095386
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,PAGE2B,0.0,0.023009,0.14884
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,PAGE5,0.0,0.0,0.113918
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,PHF7,5.221077,7.22377,9.935471
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,PIWIL1,0.0,0.012333,0.041725
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,PRAME,0.0615,0.168636,0.955508
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,RNF148,0.100622,0.197097,0.325773
