Ensembl_Gene_ID,Symbol,cancer_types,num_cancer_types,max_FPKM,SM_category,TDL_category,DRUG
ENSG00000160886,LY6K,BLCA;THYM,2,20.8494,Unknown,Tbio,
ENSG00000099960,SLC7A4,MESO;PCPG,2,14.3105,Unknown,Tbio,
ENSG00000196735,HLA-DQA1,DLBC,1,262.086,Unknown,Tbio,
ENSG00000189143,CLDN4,UCEC,1,206.657,Unknown,Tbio,
ENSG00000277734,TRAC,DLBC,1,185.631,Unknown,Tbio,
ENSG00000132698,RAB25,BLCA,1,183.215,Discovery_Precedence,Tbio,
ENSG00000100031,GGT1,CHOL,1,145.9635,Discovery_Precedence,Tbio,
ENSG00000101000,PROCR,MESO,1,141.033,Discovery_Precedence,Tbio,
ENSG00000112655,PTK7,UCS,1,134.811,Predicted_Tractable,Tbio,
ENSG00000147257,GPC3,LIHC,1,132.036,Unknown,Tbio,
ENSG00000157214,STEAP2,PRAD,1,127.49,Unknown,Tbio,
ENSG00000164647,STEAP1,PRAD,1,122.3725,Unknown,Tbio,
