Ensembl_Gene_ID,Symbol,category
ENSG00000237024,RPL21P33,ribosomal_protein
ENSG00000238180,RPL21P34,ribosomal_protein
ENSG00000231494,RPL21P35,ribosomal_protein
ENSG00000233752,RPL21P36,ribosomal_protein
ENSG00000229503,RPL21P37,ribosomal_protein
ENSG00000233934,RPL21P38,ribosomal_protein
ENSG00000239797,RPL21P39,ribosomal_protein
ENSG00000240828,RPL21P4,ribosomal_protein
ENSG00000235670,RPL21P40,ribosomal_protein
ENSG00000214560,RPL21P41,ribosomal_protein
ENSG00000240068,RPL21P42,ribosomal_protein
ENSG00000231688,RPL21P43,ribosomal_protein
ENSG00000229585,RPL21P44,ribosomal_protein
ENSG00000239532,RPL21P45,ribosomal_protein
ENSG00000241612,RPL21P46,ribosomal_protein
ENSG00000241344,RPL21P47,ribosomal_protein
ENSG00000242318,RPL21P48,ribosomal_protein
ENSG00000241981,RPL21P49,ribosomal_protein
ENSG00000258640,RPL21P5,ribosomal_protein
ENSG00000228489,RPL21P50,ribosomal_protein
ENSG00000240674,RPL21P51,ribosomal_protein
ENSG00000242431,RPL21P52,ribosomal_protein
ENSG00000244021,RPL21P53,ribosomal_protein
ENSG00000241829,RPL21P54,ribosomal_protein
ENSG00000239870,RPL21P55,ribosomal_protein
ENSG00000241739,RPL21P56,ribosomal_protein
ENSG00000241187,RPL21P57,ribosomal_protein
ENSG00000213663,RPL21P58,ribosomal_protein
ENSG00000253946,RPL21P59,ribosomal_protein
ENSG00000239199,RPL21P6,ribosomal_protein
ENSG00000240729,RPL21P60,ribosomal_protein
ENSG00000217379,RPL21P61,ribosomal_protein
ENSG00000229765,RPL21P62,ribosomal_protein
ENSG00000217181,RPL21P63,ribosomal_protein
ENSG00000220110,RPL21P64,ribosomal_protein
ENSG00000216977,RPL21P65,ribosomal_protein
ENSG00000225343,RPL21P66,ribosomal_protein
ENSG00000219776,RPL21P67,ribosomal_protein
ENSG00000216718,RPL21P68,ribosomal_protein
ENSG00000216480,RPL21P69,ribosomal_protein
ENSG00000258613,RPL21P7,ribosomal_protein
ENSG00000213620,RPL21P70,ribosomal_protein
ENSG00000239412,RPL21P71,ribosomal_protein
ENSG00000224593,RPL21P72,ribosomal_protein
ENSG00000234658,RPL21P73,ribosomal_protein
ENSG00000237551,RPL21P74,ribosomal_protein
ENSG00000213860,RPL21P75,ribosomal_protein
ENSG00000228030,RPL21P76,ribosomal_protein
ENSG00000241026,RPL21P77,ribosomal_protein
ENSG00000240237,RPL21P78,ribosomal_protein
ENSG00000240919,RPL21P79,ribosomal_protein
ENSG00000180662,RPL21P8,ribosomal_protein
ENSG00000243181,RPL21P80,ribosomal_protein
ENSG00000230064,RPL21P81,ribosomal_protein
ENSG00000227399,RPL21P82,ribosomal_protein
ENSG00000230188,RPL21P83,ribosomal_protein
ENSG00000228781,RPL21P84,ribosomal_protein
ENSG00000231804,RPL21P85,ribosomal_protein
ENSG00000213669,RPL21P86,ribosomal_protein
ENSG00000228053,RPL21P87,ribosomal_protein
ENSG00000238263,RPL21P88,ribosomal_protein
ENSG00000229870,RPL21P89,ribosomal_protein
ENSG00000258618,RPL21P9,ribosomal_protein
ENSG00000227805,RPL21P90,ribosomal_protein
ENSG00000224907,RPL21P91,ribosomal_protein
ENSG00000225922,RPL21P92,ribosomal_protein
ENSG00000229605,RPL21P93,ribosomal_protein
ENSG00000241678,RPL21P94,ribosomal_protein
ENSG00000241782,RPL21P95,ribosomal_protein
ENSG00000239861,RPL21P96,ribosomal_protein
ENSG00000239470,RPL21P97,ribosomal_protein
ENSG00000243071,RPL21P98,ribosomal_protein
ENSG00000242986,RPL21P99,ribosomal_protein
ENSG00000116251,RPL22,ribosomal_protein
ENSG00000213178,RPL22P1,ribosomal_protein
ENSG00000213295,RPL22P10,ribosomal_protein
ENSG00000233707,RPL22P11,ribosomal_protein
ENSG00000216867,RPL22P12,ribosomal_protein
ENSG00000242670,RPL22P13,ribosomal_protein
ENSG00000218300,RPL22P14,ribosomal_protein
ENSG00000213935,RPL22P16,ribosomal_protein
ENSG00000235266,RPL22P17,ribosomal_protein
ENSG00000230171,RPL22P18,ribosomal_protein
ENSG00000241129,RPL22P19,ribosomal_protein
ENSG00000241081,RPL22P2,ribosomal_protein
ENSG00000239200,RPL22P20,ribosomal_protein
ENSG00000233979,RPL22P21,ribosomal_protein
ENSG00000213653,RPL22P22,ribosomal_protein
ENSG00000232379,RPL22P23,ribosomal_protein
ENSG00000231084,RPL22P24,ribosomal_protein
ENSG00000226457,RPL22P3,ribosomal_protein
ENSG00000225483,RPL22P4,ribosomal_protein
ENSG00000268074,RPL22P5,ribosomal_protein
ENSG00000268993,RPL22P6,ribosomal_protein
ENSG00000234559,RPL22P7,ribosomal_protein
ENSG00000237745,RPL22P8,ribosomal_protein
ENSG00000125691,RPL23,ribosomal_protein
ENSG00000198242,RPL23A,ribosomal_protein
ENSG00000239257,RPL23AP1,ribosomal_protein
ENSG00000239784,RPL23AP1,ribosomal_protein
ENSG00000240845,RPL23AP1,ribosomal_protein
ENSG00000241880,RPL23AP1,ribosomal_protein
ENSG00000242039,RPL23AP1,ribosomal_protein
ENSG00000242511,RPL23AP1,ribosomal_protein
ENSG00000240051,RPL23AP10,ribosomal_protein
ENSG00000230988,RPL23AP11,ribosomal_protein
