Symbol,Ensembl_Gene_ID,Description,Category,CD,Source
KCNV2,ENSG00000168263,Potassium voltage-gated channel subfamily V member 2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
HAVCR2,ENSG00000135077,Hepatitis A virus cellular receptor 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD300LF,ENSG00000186074,CMRF35-like molecule 1,Predicted,CD300f,Bausch-Fluck et al. 2018 PNAS 115:E10988
HCAR2,ENSG00000182782,Hydroxycarboxylic acid receptor 2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OXER1,ENSG00000162881,Oxoeicosanoid receptor 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MRGPRD,ENSG00000172938,Mas-related G-protein coupled receptor member D,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR152,ENSG00000175514,Probable G-protein coupled receptor 152,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPBAR1,ENSG00000179921,G-protein coupled bile acid receptor 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
RXFP4,ENSG00000173080,Relaxin-3 receptor 2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR151,ENSG00000173250,Probable G-protein coupled receptor 151,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR148,ENSG00000173302,Probable G-protein coupled receptor 148,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR119,ENSG00000147262,Glucose-dependent insulinotropic receptor,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
FAT3,ENSG00000165323,Protocadherin Fat 3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PKD1L1,ENSG00000158683,Polycystic kidney disease protein 1-like 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
IGDCC4,ENSG00000103742,Immunoglobulin superfamily DCC subclass member 4,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TAS1R2,ENSG00000179002,Taste receptor type 1 member 2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
RNF128,ENSG00000133135,E3 ubiquitin-protein ligase RNF128,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC37A2,ENSG00000134955,Sugar phosphate exchanger 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
NUP210,ENSG00000132182,Nuclear pore membrane glycoprotein 210,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PIGO,ENSG00000165282,GPI ethanolamine phosphate transferase 3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LRRC15,ENSG00000172061,Leucine-rich repeat-containing protein 15,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GDPD5,ENSG00000158555,Glycerophosphodiester phosphodiesterase domain-containing protein 5,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SCARB1,ENSG00000073060,Scavenger receptor class B member 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CHPT1,ENSG00000111666,Cholinephosphotransferase 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC22A17,ENSG00000092096,Solute carrier family 22 member 17,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LRRN4,ENSG00000125872,Leucine-rich repeat neuronal protein 4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC38A5,ENSG00000017483,Sodium-coupled neutral amino acid transporter 5,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMEM255B,ENSG00000184497,Transmembrane protein 255B,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMEM171,ENSG00000157111,Transmembrane protein 171,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SECTM1,ENSG00000141574,Secreted and transmembrane protein 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LMBR1,ENSG00000105983,Limb region 1 protein homolog,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
BTN2A2,ENSG00000124508,Butyrophilin subfamily 2 member A2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ITLN1,ENSG00000179914,Intelectin-1,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
C1orf85,ENSG00000198715,Lysosomal protein NCU-G1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ZNRF4,ENSG00000105428,Zinc/RING finger protein 4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
NRG4,ENSG00000169752,"Pro-neuregulin-4, membrane-bound isoform",Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC44A1,ENSG00000070214,Choline transporter-like protein 1,CSPA_validated,CD92,Bausch-Fluck et al. 2018 PNAS 115:E10988
STAB2,ENSG00000136011,Stabilin-2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC13A3,ENSG00000158296,Solute carrier family 13 member 3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
FCAMR,ENSG00000162897,High affinity immunoglobulin alpha and immunoglobulin mu Fc receptor,Predicted,CD351,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC5A11,ENSG00000158865,Sodium/myo-inositol cotransporter 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ABCA5,ENSG00000154265,ATP-binding cassette sub-family A member 5,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
HTR3C,ENSG00000178084,5-hydroxytryptamine receptor 3C,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
RXFP2,ENSG00000133105,Relaxin receptor 2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR98,ENSG00000164199,G-protein coupled receptor 98,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MUC16,,Mucin-16,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMEM37,ENSG00000171227,Voltage-dependent calcium channel gamma-like subunit,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CACNG8,ENSG00000142408,Voltage-dependent calcium channel gamma-8 subunit,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC7A3,ENSG00000165349,Cationic amino acid transporter 3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SORCS1,ENSG00000108018,VPS10 domain-containing receptor SorCS1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CNTNAP5,ENSG00000155052,Contactin-associated protein-like 5,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMEM158,ENSG00000249992,Transmembrane protein 158,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR8D1,ENSG00000196341,Olfactory receptor 8D1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR5P2,ENSG00000183303,Olfactory receptor 5P2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR5P3,ENSG00000182334,Olfactory receptor 5P3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR1E3,,Olfactory receptor 1E3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ERVK-8,,Endogenous retrovirus group K member 8 Env polyprotein,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
HERVK_113,,Endogenous retrovirus group K member 113 Env polyprotein,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PIEZO1,ENSG00000103335,Piezo-type mechanosensitive ion channel component 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC7A6,ENSG00000103064,Y+L amino acid transporter 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
KIAA0247,ENSG00000100647,Uncharacterized protein KIAA0247,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
NCSTN,ENSG00000162736,Nicastrin,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TM9SF4,ENSG00000101337,Transmembrane 9 superfamily member 4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC9A6,ENSG00000198689,Sodium/hydrogen exchanger 6,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SGCD,ENSG00000170624,Delta-sarcoglycan,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LPAR1,ENSG00000198121,Lysophosphatidic acid receptor 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
FCGR1B,ENSG00000198019,High affinity immunoglobulin gamma Fc receptor IB,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SORL1,ENSG00000137642,Sortilin-related receptor,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PVRL2,ENSG00000130202,Nectin-2,CSPA_validated,CD112,Bausch-Fluck et al. 2018 PNAS 115:E10988
PTPRU,ENSG00000060656,Receptor-type tyrosine-protein phosphatase U,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
NRCAM,ENSG00000091129,Neuronal cell adhesion molecule,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PCSK5,ENSG00000099139,Proprotein convertase subtilisin/kexin type 5,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
EDA,ENSG00000158813,Ectodysplasin-A,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GHSR,ENSG00000121853,Growth hormone secretagogue receptor type 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SEMA4D,ENSG00000187764,Semaphorin-4D,CSPA_validated,CD100,Bausch-Fluck et al. 2018 PNAS 115:E10988
NEO1,ENSG00000067141,Neogenin,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ABCC2,ENSG00000023839,Canalicular multispecific organic anion transporter 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC5A5,ENSG00000105641,Sodium/iodide cotransporter,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PTPRN2,ENSG00000155093,Receptor-type tyrosine-protein phosphatase N2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TNFRSF14,ENSG00000157873,Tumor necrosis factor receptor superfamily member 14,CSPA_validated,CD270,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLCO2A1,ENSG00000174640,Solute carrier organic anion transporter family member 2A1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD101,ENSG00000134256,Immunoglobulin superfamily member 2,CSPA_validated,CD101,Bausch-Fluck et al. 2018 PNAS 115:E10988
TNFRSF25,ENSG00000215788,Tumor necrosis factor receptor superfamily member 25,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ART4,ENSG00000111339,Ecto-ADP-ribosyltransferase 4,GPI_anchored,CD297,Bausch-Fluck et al. 2018 PNAS 115:E10988
MR1,ENSG00000153029,Major histocompatibility complex class I-related gene protein,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
KISS1R,ENSG00000116014,KiSS-1 receptor,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC38A4,ENSG00000139209,Sodium-coupled neutral amino acid transporter 4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PIGT,ENSG00000124155,GPI transamidase component PIG-T,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TAAR8,ENSG00000146385,Trace amine-associated receptor 8,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
IGSF8,ENSG00000162729,Immunoglobulin superfamily member 8,CSPA_validated,CD316,Bausch-Fluck et al. 2018 PNAS 115:E10988
MCHR2,ENSG00000152034,Melanin-concentrating hormone receptor 2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PMEPA1,ENSG00000124225,Protein TMEPAI,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
RELT,ENSG00000054967,Tumor necrosis factor receptor superfamily member 19L,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMEM106A,ENSG00000184988,Transmembrane protein 106A,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLAMF9,ENSG00000162723,SLAM family member 9,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MRGPRF,ENSG00000172935,Mas-related G-protein coupled receptor member F,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ESAM,ENSG00000149564,Endothelial cell-selective adhesion molecule,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
RGMA,ENSG00000182175,Repulsive guidance molecule A,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLCO4A1,ENSG00000101187,Solute carrier organic anion transporter family member 4A1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMIGD2,ENSG00000167664,Transmembrane and immunoglobulin domain-containing protein 2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TM4SF18,ENSG00000163762,Transmembrane 4 L6 family member 18,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR146,ENSG00000164849,Probable G-protein coupled receptor 146,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
NTNG2,,Netrin-G2,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
HAVCR1,ENSG00000113249,Hepatitis A virus cellular receptor 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SHISA4,ENSG00000198892,Protein shisa-4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLAMF6,ENSG00000162739,SLAM family member 6,CSPA_validated,CD352,Bausch-Fluck et al. 2018 PNAS 115:E10988
KLRG1,ENSG00000139187,Killer cell lectin-like receptor subfamily G member 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC10A4,ENSG00000145248,Sodium/bile acid cotransporter 4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
C11orf24,ENSG00000171067,Uncharacterized protein C11orf24,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
IL17RA,ENSG00000177663,Interleukin-17 receptor A,CSPA_validated,CD217,Bausch-Fluck et al. 2018 PNAS 115:E10988
DISP1,ENSG00000154309,Protein dispatched homolog 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LINGO1,ENSG00000169783,Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PIK3IP1,ENSG00000100100,Phosphoinositide-3-kinase-interacting protein 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC47A1,ENSG00000142494,Multidrug and toxin extrusion protein 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ASIC4,ENSG00000072182,Acid-sensing ion channel 4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TSPAN17,ENSG00000048140,Tetraspanin-17,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
P2RY11,ENSG00000244165,P2Y purinoceptor 11,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SCARF2,ENSG00000244486,Scavenger receptor class F member 2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
BCAN,ENSG00000132692,Brevican core protein,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TCTN2,ENSG00000168778,Tectonic-2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC41A3,ENSG00000114544,Solute carrier family 41 member 3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TIMD4,ENSG00000145850,T-cell immunoglobulin and mucin domain-containing protein 4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
C1orf159,ENSG00000131591,Uncharacterized protein C1orf159,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
VSIG2,ENSG00000019102,V-set and immunoglobulin domain-containing protein 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TXNDC15,ENSG00000113621,Thioredoxin domain-containing protein 15,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ABCC12,ENSG00000140798,Multidrug resistance-associated protein 9,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ABCC11,ENSG00000121270,ATP-binding cassette sub-family C member 11,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
KIRREL,ENSG00000183853,Kin of IRRE-like protein 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LRIG1,ENSG00000144749,Leucine-rich repeats and immunoglobulin-like domains protein 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMX3,ENSG00000166479,Protein disulfide-isomerase TMX3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CDHR1,ENSG00000148600,Cadherin-related family member 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
DCHS1,ENSG00000166341,Protocadherin-16,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC41A2,ENSG00000136052,Solute carrier family 41 member 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMEM87B,ENSG00000153214,Transmembrane protein 87B,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR128,ENSG00000144820,Probable G-protein coupled receptor 128,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MEGF10,ENSG00000145794,Multiple epidermal growth factor-like domains protein 10,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MSLNL,ENSG00000162006,Mesothelin-like protein,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
KCNS1,ENSG00000124134,Potassium voltage-gated channel subfamily S member 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR10C1,ENSG00000229412,Olfactory receptor 10C1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
BTN2A3P,,Putative butyrophilin subfamily 2 member A3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SUSD3,ENSG00000157303,Sushi domain-containing protein 3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
FCRL2,ENSG00000132704,Fc receptor-like protein 2,CSPA_validated,CD307b,Bausch-Fluck et al. 2018 PNAS 115:E10988
FCRL1,ENSG00000163534,Fc receptor-like protein 1,Predicted,CD307a,Bausch-Fluck et al. 2018 PNAS 115:E10988
MRGPRX4,ENSG00000179817,Mas-related G-protein coupled receptor member X4,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MRGPRX3,ENSG00000179826,Mas-related G-protein coupled receptor member X3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MRGPRX2,ENSG00000183695,Mas-related G-protein coupled receptor member X2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MRGPRX1,ENSG00000170255,Mas-related G-protein coupled receptor member X1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SIGLEC10,ENSG00000142512,Sialic acid-binding Ig-like lectin 10,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SGCZ,ENSG00000185053,Zeta-sarcoglycan,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
HIAT1,ENSG00000156875,Hippocampus abundant transcript 1 protein,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ROBO3,ENSG00000154134,Roundabout homolog 3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
KREMEN1,ENSG00000183762,Kremen protein 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR137,ENSG00000173264,Integral membrane protein GPR137,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC6A18,ENSG00000164363,Sodium-dependent neutral amino acid transporter B(0)AT3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LRFN5,ENSG00000165379,Leucine-rich repeat and fibronectin type-III domain-containing protein 5,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PTCHD1,ENSG00000165186,Patched domain-containing protein 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC46A1,ENSG00000076351,Proton-coupled folate transporter,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CNTNAP3B,ENSG00000154529,Contactin-associated protein-like 3B,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PVRL4,ENSG00000143217,Nectin-4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
FCRL3,ENSG00000160856,Fc receptor-like protein 3,CSPA_validated,CD307c,Bausch-Fluck et al. 2018 PNAS 115:E10988
QRFPR,ENSG00000186867,Pyroglutamylated RFamide peptide receptor,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR101,ENSG00000165370,Probable G-protein coupled receptor 101,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR82,ENSG00000171657,Probable G-protein coupled receptor 82,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OXGR1,ENSG00000165621,2-oxoglutarate receptor 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR78,ENSG00000155269,G-protein coupled receptor 78,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GNRHR2,ENSG00000211451,Putative gonadotropin-releasing hormone II receptor,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CASD1,ENSG00000127995,CAS1 domain-containing protein 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LRRC3B,ENSG00000179796,Leucine-rich repeat-containing protein 3B,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
DCBLD2,ENSG00000057019,"Discoidin, CUB and LCCL domain-containing protein 2",CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR124,ENSG00000020181,G-protein coupled receptor 124,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OPALIN,ENSG00000197430,Opalin,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
FCRL4,ENSG00000163518,Fc receptor-like protein 4,Predicted,CD307d,Bausch-Fluck et al. 2018 PNAS 115:E10988
TECTB,ENSG00000119913,Beta-tectorin,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ERMAP,ENSG00000164010,Erythroid membrane-associated protein,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SORCS2,ENSG00000184985,VPS10 domain-containing receptor SorCS2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SIGLEC12,ENSG00000254521,Sialic acid-binding Ig-like lectin 12,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
AQP10,ENSG00000143595,Aquaporin-10,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLITRK1,,SLIT and NTRK-like protein 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CSMD1,,CUB and sushi domain-containing protein 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC38A2,ENSG00000134294,Sodium-coupled neutral amino acid transporter 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC2A13,ENSG00000151229,Proton myo-inositol cotransporter,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LRRC37B,ENSG00000185158,Leucine-rich repeat-containing protein 37B,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PCDH15,ENSG00000150275,Protocadherin-15,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR5B12,ENSG00000172362,Olfactory receptor 5B12,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR5B2,ENSG00000172365,Olfactory receptor 5B2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR2M4,ENSG00000171180,Olfactory receptor 2M4,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR2M2,ENSG00000198601,Olfactory receptor 2M2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR2V2,ENSG00000182613,Olfactory receptor 2V2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR2A7,ENSG00000243896,Olfactory receptor 2A7,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR2A14,ENSG00000221938,Olfactory receptor 2A14,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR2A5,ENSG00000221836,Olfactory receptor 2A5,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR14A2,ENSG00000241128,Olfactory receptor 14A2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR4C12,ENSG00000221954,Olfactory receptor 4C12,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR4F4,ENSG00000177693,Olfactory receptor 4F4,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR4K3,,Olfactory receptor 4K3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR1F2P,,Putative olfactory receptor 1F2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR7D2,ENSG00000188000,Olfactory receptor 7D2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR5M11,ENSG00000255223,Olfactory receptor 5M11,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR8B4,ENSG00000280090,Olfactory receptor 8B4,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR8B2,ENSG00000204293,Olfactory receptor 8B2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR6C1,ENSG00000205330,Olfactory receptor 6C1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR52B2,ENSG00000255307,Olfactory receptor 52B2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR52E6,ENSG00000205409,Olfactory receptor 52E6,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PANX2,ENSG00000073150,Pannexin-2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PANX1,ENSG00000110218,Pannexin-1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
FCRL5,ENSG00000143297,Fc receptor-like protein 5,CSPA_validated,CD307e,Bausch-Fluck et al. 2018 PNAS 115:E10988
F2RL3,ENSG00000127533,Proteinase-activated receptor 4,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TAAR6,ENSG00000146383,Trace amine-associated receptor 6,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TAAR9,ENSG00000237110,Trace amine-associated receptor 9,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TAAR1,ENSG00000146399,Trace amine-associated receptor 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SIGLEC11,ENSG00000161640,Sialic acid-binding Ig-like lectin 11,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC26A8,ENSG00000112053,Testis anion transporter 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PCNX,ENSG00000100731,Pecanex-like protein 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
