Symbol,Ensembl_Gene_ID,Description,Category,CD,Source
PLXNB2,ENSG00000196576,Plexin-B2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
NPC1,ENSG00000141458,Niemann-Pick C1 protein,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MUSK,ENSG00000030304,"Muscle, skeletal receptor tyrosine-protein kinase",Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LDLRAD4,ENSG00000168675,Low-density lipoprotein receptor class A domain-containing protein 4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
EPHB6,ENSG00000106123,Ephrin type-B receptor 6,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR182,ENSG00000166856,G-protein coupled receptor 182,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC22A2,ENSG00000112499,Solute carrier family 22 member 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC22A1,ENSG00000175003,Solute carrier family 22 member 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GRM6,ENSG00000113262,Metabotropic glutamate receptor 6,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TM9SF1,ENSG00000100926,Transmembrane 9 superfamily member 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR37,ENSG00000170775,Prosaposin receptor GPR37,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC16A4,ENSG00000168679,Monocarboxylate transporter 5,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC16A5,ENSG00000170190,Monocarboxylate transporter 6,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SIGLEC5,ENSG00000268500,Sialic acid-binding Ig-like lectin 5,CSPA_validated,CD170,Bausch-Fluck et al. 2018 PNAS 115:E10988
NCAM2,ENSG00000154654,Neural cell adhesion molecule 2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GRIN2D,ENSG00000105464,"Glutamate receptor ionotropic, NMDA 2D",CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC16A6,ENSG00000108932,Monocarboxylate transporter 7,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC31A1,ENSG00000136868,High affinity copper uptake protein 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ABCC3,ENSG00000108846,Canalicular multispecific organic anion transporter 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ABCC4,ENSG00000125257,Multidrug resistance-associated protein 4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ABCC5,ENSG00000114770,Multidrug resistance-associated protein 5,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TLR3,ENSG00000164342,Toll-like receptor 3,CSPA_validated,CD283,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR42,ENSG00000126251,G-protein coupled receptor 42,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
P2RX6,ENSG00000099957,P2X purinoceptor 6,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CLDN3,ENSG00000165215,Claudin-3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
