cancer_code,representative_id,source_cohort,source_project,n_cohort_samples,cluster_rank
SARC_ANGIO,SARC_ANGIO_rep03,TREEHOUSE_POLYA_25_01,Treehouse,20,3
SARC_ANGIO,SARC_ANGIO_rep04,TREEHOUSE_POLYA_25_01,Treehouse,20,4
SARC_ANGIO,SARC_ANGIO_rep05,TREEHOUSE_POLYA_25_01,Treehouse,20,5
SARC_ASPS,SARC_ASPS_rep01,TREEHOUSE_POLYA_25_01,Treehouse,3,1
SARC_ASPS,SARC_ASPS_rep02,TREEHOUSE_POLYA_25_01,Treehouse,3,2
SARC_ASPS,SARC_ASPS_rep03,TREEHOUSE_POLYA_25_01,Treehouse,3,3
SARC_CCS,SARC_CCS_rep01,GSE248751_HUMAN_CCS_2023,GEO,5,1
SARC_CCS,SARC_CCS_rep02,GSE248751_HUMAN_CCS_2023,GEO,5,2
SARC_CCS,SARC_CCS_rep03,GSE248751_HUMAN_CCS_2023,GEO,5,3
SARC_CCS,SARC_CCS_rep04,GSE248751_HUMAN_CCS_2023,GEO,5,4
SARC_CCS,SARC_CCS_rep05,GSE248751_HUMAN_CCS_2023,GEO,5,5
SARC_CHON,SARC_CHON_rep01,GSE299759_MEIJER_2026,GEO,54,1
SARC_CHON,SARC_CHON_rep02,GSE299759_MEIJER_2026,GEO,54,2
SARC_CHON,SARC_CHON_rep03,GSE299759_MEIJER_2026,GEO,54,3
SARC_CHON,SARC_CHON_rep04,GSE299759_MEIJER_2026,GEO,54,4
SARC_CHON,SARC_CHON_rep05,GSE299759_MEIJER_2026,GEO,54,5
SARC_CHOR,SARC_CHOR_rep01,GSE239531_VANOOST_2024,GEO,20,1
SARC_CHOR,SARC_CHOR_rep02,GSE239531_VANOOST_2024,GEO,20,2
SARC_CHOR,SARC_CHOR_rep03,GSE239531_VANOOST_2024,GEO,20,3
SARC_CHOR,SARC_CHOR_rep04,GSE239531_VANOOST_2024,GEO,20,4
SARC_CHOR,SARC_CHOR_rep05,GSE239531_VANOOST_2024,GEO,20,5
SARC_DDLPS,SARC_DDLPS_rep01,TREEHOUSE_POLYA_25_01,Treehouse,48,1
SARC_DDLPS,SARC_DDLPS_rep02,TREEHOUSE_POLYA_25_01,Treehouse,48,2
SARC_DDLPS,SARC_DDLPS_rep03,TREEHOUSE_POLYA_25_01,Treehouse,48,3
SARC_DDLPS,SARC_DDLPS_rep04,TREEHOUSE_POLYA_25_01,Treehouse,48,4
SARC_DDLPS,SARC_DDLPS_rep05,TREEHOUSE_POLYA_25_01,Treehouse,48,5
SARC_DSRCT,SARC_DSRCT_rep01,TREEHOUSE_POLYA_25_01,Treehouse,9,1
SARC_DSRCT,SARC_DSRCT_rep02,TREEHOUSE_POLYA_25_01,Treehouse,9,2
SARC_DSRCT,SARC_DSRCT_rep03,TREEHOUSE_POLYA_25_01,Treehouse,9,3
SARC_DSRCT,SARC_DSRCT_rep04,TREEHOUSE_POLYA_25_01,Treehouse,9,4
SARC_DSRCT,SARC_DSRCT_rep05,TREEHOUSE_POLYA_25_01,Treehouse,9,5
SARC_EHE,SARC_EHE_rep01,TREEHOUSE_POLYA_25_01,Treehouse,1,1
SARC_EPITH,SARC_EPITH_rep01,TREEHOUSE_POLYA_25_01,Treehouse,5,1
SARC_EPITH,SARC_EPITH_rep02,TREEHOUSE_POLYA_25_01,Treehouse,5,2
SARC_EPITH,SARC_EPITH_rep03,TREEHOUSE_POLYA_25_01,Treehouse,5,3
SARC_EPITH,SARC_EPITH_rep04,TREEHOUSE_POLYA_25_01,Treehouse,5,4
SARC_EPITH,SARC_EPITH_rep05,TREEHOUSE_POLYA_25_01,Treehouse,5,5
SARC_EWS,SARC_EWS_rep01,TREEHOUSE_POLYA_25_01,Treehouse,101,1
SARC_EWS,SARC_EWS_rep02,TREEHOUSE_POLYA_25_01,Treehouse,101,2
SARC_EWS,SARC_EWS_rep03,TREEHOUSE_POLYA_25_01,Treehouse,101,3
SARC_EWS,SARC_EWS_rep04,TREEHOUSE_POLYA_25_01,Treehouse,101,4
SARC_EWS,SARC_EWS_rep05,TREEHOUSE_POLYA_25_01,Treehouse,101,5
SARC_GIST,SARC_GIST_rep01,TREEHOUSE_POLYA_25_01,Treehouse,19,1
SARC_GIST,SARC_GIST_rep02,TREEHOUSE_POLYA_25_01,Treehouse,19,2
SARC_GIST,SARC_GIST_rep03,TREEHOUSE_POLYA_25_01,Treehouse,19,3
SARC_GIST,SARC_GIST_rep04,TREEHOUSE_POLYA_25_01,Treehouse,19,4
SARC_GIST,SARC_GIST_rep05,TREEHOUSE_POLYA_25_01,Treehouse,19,5
SARC_IFS,SARC_IFS_rep01,TREEHOUSE_POLYA_25_01,Treehouse,2,1
SARC_IFS,SARC_IFS_rep02,TREEHOUSE_POLYA_25_01,Treehouse,2,2
SARC_IMT,SARC_IMT_rep01,TREEHOUSE_POLYA_25_01,Treehouse,4,1
SARC_IMT,SARC_IMT_rep02,TREEHOUSE_POLYA_25_01,Treehouse,4,2
SARC_IMT,SARC_IMT_rep03,TREEHOUSE_POLYA_25_01,Treehouse,4,3
SARC_IMT,SARC_IMT_rep04,TREEHOUSE_POLYA_25_01,Treehouse,4,4
SARC_KS,SARC_KS_rep01,GSE241095_KS_SKIN_2023,GEO,10,1
SARC_KS,SARC_KS_rep02,GSE241095_KS_SKIN_2023,GEO,10,2
SARC_KS,SARC_KS_rep03,GSE241095_KS_SKIN_2023,GEO,10,3
SARC_KS,SARC_KS_rep04,GSE241095_KS_SKIN_2023,GEO,10,4
SARC_KS,SARC_KS_rep05,GSE241095_KS_SKIN_2023,GEO,10,5
SARC_LGFMS,SARC_LGFMS_rep01,TREEHOUSE_POLYA_25_01,Treehouse,2,1
SARC_LGFMS,SARC_LGFMS_rep02,TREEHOUSE_POLYA_25_01,Treehouse,2,2
SARC_LMS,SARC_LMS_rep01,TREEHOUSE_POLYA_25_01,Treehouse,151,1
SARC_LMS,SARC_LMS_rep02,TREEHOUSE_POLYA_25_01,Treehouse,151,2
SARC_LMS,SARC_LMS_rep03,TREEHOUSE_POLYA_25_01,Treehouse,151,3
SARC_LMS,SARC_LMS_rep04,TREEHOUSE_POLYA_25_01,Treehouse,151,4
SARC_LMS,SARC_LMS_rep05,TREEHOUSE_POLYA_25_01,Treehouse,151,5
SARC_LPS_UNSPEC,SARC_LPS_UNSPEC_rep01,TREEHOUSE_POLYA_25_01,Treehouse,92,1
SARC_LPS_UNSPEC,SARC_LPS_UNSPEC_rep02,TREEHOUSE_POLYA_25_01,Treehouse,92,2
SARC_LPS_UNSPEC,SARC_LPS_UNSPEC_rep03,TREEHOUSE_POLYA_25_01,Treehouse,92,3
SARC_LPS_UNSPEC,SARC_LPS_UNSPEC_rep04,TREEHOUSE_POLYA_25_01,Treehouse,92,4
SARC_LPS_UNSPEC,SARC_LPS_UNSPEC_rep05,TREEHOUSE_POLYA_25_01,Treehouse,92,5
SARC_MPNST,SARC_MPNST_rep01,TREEHOUSE_POLYA_25_01,Treehouse,13,1
SARC_MPNST,SARC_MPNST_rep02,TREEHOUSE_POLYA_25_01,Treehouse,13,2
SARC_MPNST,SARC_MPNST_rep03,TREEHOUSE_POLYA_25_01,Treehouse,13,3
SARC_MPNST,SARC_MPNST_rep04,TREEHOUSE_POLYA_25_01,Treehouse,13,4
SARC_MPNST,SARC_MPNST_rep05,TREEHOUSE_POLYA_25_01,Treehouse,13,5
SARC_MYXFIB,SARC_MYXFIB_rep01,TREEHOUSE_POLYA_25_01,Treehouse,41,1
SARC_MYXFIB,SARC_MYXFIB_rep02,TREEHOUSE_POLYA_25_01,Treehouse,41,2
SARC_MYXFIB,SARC_MYXFIB_rep03,TREEHOUSE_POLYA_25_01,Treehouse,41,3
SARC_MYXFIB,SARC_MYXFIB_rep04,TREEHOUSE_POLYA_25_01,Treehouse,41,4
SARC_MYXFIB,SARC_MYXFIB_rep05,TREEHOUSE_POLYA_25_01,Treehouse,41,5
SARC_MYXLPS,SARC_MYXLPS_rep01,GSE30929_SINGER_2007_LPS,GEO,28,1
SARC_MYXLPS,SARC_MYXLPS_rep02,GSE30929_SINGER_2007_LPS,GEO,28,2
SARC_MYXLPS,SARC_MYXLPS_rep03,GSE30929_SINGER_2007_LPS,GEO,28,3
SARC_MYXLPS,SARC_MYXLPS_rep04,GSE30929_SINGER_2007_LPS,GEO,28,4
SARC_MYXLPS,SARC_MYXLPS_rep05,GSE30929_SINGER_2007_LPS,GEO,28,5
SARC_OS,SARC_OS_rep01,TREEHOUSE_POLYA_25_01,Treehouse,262,1
SARC_OS,SARC_OS_rep02,TREEHOUSE_POLYA_25_01,Treehouse,262,2
SARC_OS,SARC_OS_rep03,TREEHOUSE_POLYA_25_01,Treehouse,262,3
SARC_OS,SARC_OS_rep04,TREEHOUSE_POLYA_25_01,Treehouse,262,4
SARC_OS,SARC_OS_rep05,TREEHOUSE_POLYA_25_01,Treehouse,262,5
SARC_PEC,SARC_PEC_rep01,GSE328026_PECOMA_2026,GEO,69,1
SARC_PEC,SARC_PEC_rep02,GSE328026_PECOMA_2026,GEO,69,2
SARC_PEC,SARC_PEC_rep03,GSE328026_PECOMA_2026,GEO,69,3
SARC_PEC,SARC_PEC_rep04,GSE328026_PECOMA_2026,GEO,69,4
SARC_PEC,SARC_PEC_rep05,GSE328026_PECOMA_2026,GEO,69,5
SARC_PLEOLPS,SARC_PLEOLPS_rep01,GSE75885_DELESPAUL_2017,GEO,4,1
SARC_PLEOLPS,SARC_PLEOLPS_rep02,GSE75885_DELESPAUL_2017,GEO,4,2
SARC_PLEOLPS,SARC_PLEOLPS_rep03,GSE75885_DELESPAUL_2017,GEO,4,3
SARC_PLEOLPS,SARC_PLEOLPS_rep04,GSE75885_DELESPAUL_2017,GEO,4,4
SARC_RMS_ARMS,SARC_RMS_ARMS_rep01,TREEHOUSE_POLYA_25_01,Treehouse,73,1
SARC_RMS_ARMS,SARC_RMS_ARMS_rep02,TREEHOUSE_POLYA_25_01,Treehouse,73,2
SARC_RMS_ARMS,SARC_RMS_ARMS_rep03,TREEHOUSE_POLYA_25_01,Treehouse,73,3
SARC_RMS_ARMS,SARC_RMS_ARMS_rep04,TREEHOUSE_POLYA_25_01,Treehouse,73,4
SARC_RMS_ARMS,SARC_RMS_ARMS_rep05,TREEHOUSE_POLYA_25_01,Treehouse,73,5
SARC_RMS_ERMS,SARC_RMS_ERMS_rep01,TREEHOUSE_POLYA_25_01,Treehouse,95,1
SARC_RMS_ERMS,SARC_RMS_ERMS_rep02,TREEHOUSE_POLYA_25_01,Treehouse,95,2
SARC_RMS_ERMS,SARC_RMS_ERMS_rep03,TREEHOUSE_POLYA_25_01,Treehouse,95,3
SARC_RMS_ERMS,SARC_RMS_ERMS_rep04,TREEHOUSE_POLYA_25_01,Treehouse,95,4
SARC_RMS_ERMS,SARC_RMS_ERMS_rep05,TREEHOUSE_POLYA_25_01,Treehouse,95,5
SARC_RMS_PRMS,SARC_RMS_PRMS_rep01,TREEHOUSE_POLYA_25_01,Treehouse,6,1
SARC_RMS_PRMS,SARC_RMS_PRMS_rep02,TREEHOUSE_POLYA_25_01,Treehouse,6,2
SARC_RMS_PRMS,SARC_RMS_PRMS_rep03,TREEHOUSE_POLYA_25_01,Treehouse,6,3
SARC_RMS_PRMS,SARC_RMS_PRMS_rep04,TREEHOUSE_POLYA_25_01,Treehouse,6,4
SARC_RMS_PRMS,SARC_RMS_PRMS_rep05,TREEHOUSE_POLYA_25_01,Treehouse,6,5
SARC_RMS_SSRMS,SARC_RMS_SSRMS_rep01,TREEHOUSE_POLYA_25_01,Treehouse,8,1
SARC_RMS_SSRMS,SARC_RMS_SSRMS_rep02,TREEHOUSE_POLYA_25_01,Treehouse,8,2
SARC_RMS_SSRMS,SARC_RMS_SSRMS_rep03,TREEHOUSE_POLYA_25_01,Treehouse,8,3
SARC_RMS_SSRMS,SARC_RMS_SSRMS_rep04,TREEHOUSE_POLYA_25_01,Treehouse,8,4
SARC_RMS_SSRMS,SARC_RMS_SSRMS_rep05,TREEHOUSE_POLYA_25_01,Treehouse,8,5
SARC_SYN,SARC_SYN_rep01,TREEHOUSE_POLYA_25_01,Treehouse,50,1
SARC_SYN,SARC_SYN_rep02,TREEHOUSE_POLYA_25_01,Treehouse,50,2
SARC_SYN,SARC_SYN_rep03,TREEHOUSE_POLYA_25_01,Treehouse,50,3
SARC_SYN,SARC_SYN_rep04,TREEHOUSE_POLYA_25_01,Treehouse,50,4
SARC_SYN,SARC_SYN_rep05,TREEHOUSE_POLYA_25_01,Treehouse,50,5
SARC_UPS,SARC_UPS_rep01,TREEHOUSE_POLYA_25_01,Treehouse,110,1
SARC_UPS,SARC_UPS_rep02,TREEHOUSE_POLYA_25_01,Treehouse,110,2
SARC_UPS,SARC_UPS_rep03,TREEHOUSE_POLYA_25_01,Treehouse,110,3
SARC_UPS,SARC_UPS_rep04,TREEHOUSE_POLYA_25_01,Treehouse,110,4
SARC_UPS,SARC_UPS_rep05,TREEHOUSE_POLYA_25_01,Treehouse,110,5
SARC_WDLPS,SARC_WDLPS_rep01,TREEHOUSE_POLYA_25_01,Treehouse,5,1
SARC_WDLPS,SARC_WDLPS_rep02,TREEHOUSE_POLYA_25_01,Treehouse,5,2
SARC_WDLPS,SARC_WDLPS_rep03,TREEHOUSE_POLYA_25_01,Treehouse,5,3
SARC_WDLPS,SARC_WDLPS_rep04,TREEHOUSE_POLYA_25_01,Treehouse,5,4
SARC_WDLPS,SARC_WDLPS_rep05,TREEHOUSE_POLYA_25_01,Treehouse,5,5
SCLC,SCLC_rep01,SCLC_UCOLOGNE_2015,UCologne,81,1
SCLC,SCLC_rep02,SCLC_UCOLOGNE_2015,UCologne,81,2
SCLC,SCLC_rep03,SCLC_UCOLOGNE_2015,UCologne,81,3
SCLC,SCLC_rep04,SCLC_UCOLOGNE_2015,UCologne,81,4
SCLC,SCLC_rep05,SCLC_UCOLOGNE_2015,UCologne,81,5
SKCM,SKCM_rep01,TREEHOUSE_POLYA_25_01,Treehouse,469,1
SKCM,SKCM_rep02,TREEHOUSE_POLYA_25_01,Treehouse,469,2
SKCM,SKCM_rep03,TREEHOUSE_POLYA_25_01,Treehouse,469,3
SKCM,SKCM_rep04,TREEHOUSE_POLYA_25_01,Treehouse,469,4
SKCM,SKCM_rep05,TREEHOUSE_POLYA_25_01,Treehouse,469,5
STAD,STAD_rep01,TREEHOUSE_POLYA_25_01,Treehouse,414,1
STAD,STAD_rep02,TREEHOUSE_POLYA_25_01,Treehouse,414,2
STAD,STAD_rep03,TREEHOUSE_POLYA_25_01,Treehouse,414,3
STAD,STAD_rep04,TREEHOUSE_POLYA_25_01,Treehouse,414,4
STAD,STAD_rep05,TREEHOUSE_POLYA_25_01,Treehouse,414,5
TGCT,TGCT_rep01,TREEHOUSE_POLYA_25_01,Treehouse,154,1
TGCT,TGCT_rep02,TREEHOUSE_POLYA_25_01,Treehouse,154,2
TGCT,TGCT_rep03,TREEHOUSE_POLYA_25_01,Treehouse,154,3
TGCT,TGCT_rep04,TREEHOUSE_POLYA_25_01,Treehouse,154,4
TGCT,TGCT_rep05,TREEHOUSE_POLYA_25_01,Treehouse,154,5
THCA,THCA_rep01,TREEHOUSE_POLYA_25_01,Treehouse,512,1
THCA,THCA_rep02,TREEHOUSE_POLYA_25_01,Treehouse,512,2
THCA,THCA_rep03,TREEHOUSE_POLYA_25_01,Treehouse,512,3
THCA,THCA_rep04,TREEHOUSE_POLYA_25_01,Treehouse,512,4
THCA,THCA_rep05,TREEHOUSE_POLYA_25_01,Treehouse,512,5
THYM,THYM_rep01,TREEHOUSE_POLYA_25_01,Treehouse,119,1
THYM,THYM_rep02,TREEHOUSE_POLYA_25_01,Treehouse,119,2
THYM,THYM_rep03,TREEHOUSE_POLYA_25_01,Treehouse,119,3
THYM,THYM_rep04,TREEHOUSE_POLYA_25_01,Treehouse,119,4
THYM,THYM_rep05,TREEHOUSE_POLYA_25_01,Treehouse,119,5
T_ALL,T_ALL_rep01,TARGET_ALL_2018,TARGET,264,1
T_ALL,T_ALL_rep02,TARGET_ALL_2018,TARGET,264,2
T_ALL,T_ALL_rep03,TARGET_ALL_2018,TARGET,264,3
T_ALL,T_ALL_rep04,TARGET_ALL_2018,TARGET,264,4
T_ALL,T_ALL_rep05,TARGET_ALL_2018,TARGET,264,5
UCEC,UCEC_rep01,TREEHOUSE_POLYA_25_01,Treehouse,181,1
UCEC,UCEC_rep02,TREEHOUSE_POLYA_25_01,Treehouse,181,2
UCEC,UCEC_rep03,TREEHOUSE_POLYA_25_01,Treehouse,181,3
UCEC,UCEC_rep04,TREEHOUSE_POLYA_25_01,Treehouse,181,4
UCEC,UCEC_rep05,TREEHOUSE_POLYA_25_01,Treehouse,181,5
UCS,UCS_rep01,TREEHOUSE_POLYA_25_01,Treehouse,57,1
UCS,UCS_rep02,TREEHOUSE_POLYA_25_01,Treehouse,57,2
UCS,UCS_rep03,TREEHOUSE_POLYA_25_01,Treehouse,57,3
UCS,UCS_rep04,TREEHOUSE_POLYA_25_01,Treehouse,57,4
UCS,UCS_rep05,TREEHOUSE_POLYA_25_01,Treehouse,57,5
UVM,UVM_rep01,TREEHOUSE_POLYA_25_01,Treehouse,79,1
UVM,UVM_rep02,TREEHOUSE_POLYA_25_01,Treehouse,79,2
UVM,UVM_rep03,TREEHOUSE_POLYA_25_01,Treehouse,79,3
UVM,UVM_rep04,TREEHOUSE_POLYA_25_01,Treehouse,79,4
UVM,UVM_rep05,TREEHOUSE_POLYA_25_01,Treehouse,79,5
WILMS,WILMS_rep01,TARGET_WT_2015,TARGET,125,1
WILMS,WILMS_rep02,TARGET_WT_2015,TARGET,125,2
WILMS,WILMS_rep03,TARGET_WT_2015,TARGET,125,3
WILMS,WILMS_rep04,TARGET_WT_2015,TARGET,125,4
WILMS,WILMS_rep05,TARGET_WT_2015,TARGET,125,5
